sub,trial,certain_reward,risky_gain,risky_loss,choice,choice_rt,outcome,happiness_raw,happiness_z,spinner_rt,spinner_rad,spinner_deg,happiness_fill_raw,happiness_fill_z,total_score
8,19,0,55,-74,0,2.499,0,NA,NA,NA,NA,NA,50,-0.08776719906943087,-74
8,20,0,75,-38,0,4.018,0,50,-0.08776719906943087,NA,NA,NA,50,-0.08776719906943087,-74
8,21,30,62,0,1,3.767,0,NA,NA,4.382,2.218,127.082038960017,50,-0.08776719906943087,-74
8,22,30,120,0,1,2.149,0,50,-0.08776719906943087,4.382,2.181,124.962095118033,50,-0.08776719906943087,-74
8,23,30,68,0,1,2.134,68,NA,NA,4.383,3.851,220.64604690488,50,-0.08776719906943087,-6
8,24,-35,0,-84,0,1.9,-35,NA,NA,NA,NA,NA,50,-0.08776719906943087,-41
8,25,55,113,0,0,2.983,55,56,1.4920423841803137,NA,NA,NA,56,1.4920423841803137,14
8,26,-30,0,-64,0,1.533,-30,NA,NA,NA,NA,NA,56,1.4920423841803137,-16
8,27,-30,0,-60,0,1.318,-30,NA,NA,NA,NA,NA,56,1.4920423841803137,-46
8,28,-45,0,-79,0,2.134,-45,44,-1.6675767823191754,NA,NA,NA,44,-1.6675767823191754,-91
8,29,55,132,0,0,1.967,55,NA,NA,NA,NA,NA,44,-1.6675767823191754,-36
8,30,-45,0,-102,0,1.484,-45,50,-0.08776719906943087,NA,NA,NA,50,-0.08776719906943087,-81
9,1,-55,0,-113,1,6.702,0,65,0.4576759143985953,4.381,3.474,199.045538028448,65,0.4576759143985953,0
9,2,30,96,0,0,7.783,30,NA,NA,NA,NA,NA,65,0.4576759143985953,30
9,3,0,55,-11,1,14.602,-11,64,0.3780801031988396,4.382,1.966,112.64350252272,64,0.3780801031988396,19
9,4,-55,0,-149,0,6.068,-55,NA,NA,NA,NA,NA,64,0.3780801031988396,-36
9,5,55,132,0,1,4.585,132,NA,NA,4.384,4.191,240.126611939328,64,0.3780801031988396,96
9,6,55,132,0,0,2.436,55,72,1.0148465927968853,NA,NA,NA,72,1.0148465927968853,151
9,7,-30,0,-96,0,14.701,-30,NA,NA,NA,NA,NA,72,1.0148465927968853,121
9,8,0,75,-48,0,3.235,0,NA,NA,NA,NA,NA,72,1.0148465927968853,121
9,9,45,85,0,0,3.917,45,66,0.537271725598351,NA,NA,NA,66,0.537271725598351,166
9,10,-55,0,-103,1,5.951,-103,NA,NA,4.382,1.678,96.1423180229521,66,0.537271725598351,63
